TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
5400ffff,ffffffff,326082d1,63049410,143811a5,4c845600,39d0a3cb,17061008,c3041389,34280821,a115810e,58d8d3a1,129b5122
5c00ffff,ffffffff,080c6091,e1d18942,00499023,47222208,20108046,8206380a,62d34807,065c90b1,000a3124,60903080,c3855922
6400ffff,ffffffff,1e0c8894,c1008b2a,c830a088,0c290648,3019011a,022a1121,70a1450d,06282092,4782902c,14a08048,8d956122
6c00ffff,ffffffff,c0300846,014e0510,24802000,85040754,199061c0,85301488,4621029b,2a1400e3,62c3b41e,68403062,c7026922
7400ffff,ffffffff,0c244090,4140030a,1cd81180,c38000c4,8840245c,01081460,60a08507,2a1c69c2,044b0406,2c3233a6,430d7122
7c00ffff,ffffffff,0a204020,88daa514,40f28045,4387204c,5b22250b,080810f2,a0860098,169d3924,41892430,1008c000,41817922
0400ffff,ffffffff,00002017,00020718,0810a5e4,82041854,88316600,23003438,21828383,0a4d39e5,6b019440,1c30f0e0,809a0122
0c00ffff,ffffffff,023080f1,01a7852c,cc042482,4f8b2600,197127ce,9f3a6490,a0048103,04086821,c3080746,1c20e080,c18b0922
1400ffff,ffffffff,02306040,06080700,60b96680,c3003450,1380000a,030c3ce0,4100418f,06155bd4,6a02bd4c,44687201,c0881122
1c00ffff,ffffffff,00384042,22050720,2c3832a2,00083812,20c1c346,01340418,301fc084,04001503,aa098032,14285200,0b141922
2400ffff,ffffffff,14140890,20c99906,2c184161,012b1c0d,210046c0,9810289a,30e20508,64107161,22818316,207094e0,89842122
2c00ffff,ffffffff,48206801,e0cf9894,30007121,45894404,50230102,07121dc8,30669b88,0813f9b0,444d8f38,0421f042,09a82922
3400ffff,ffffffff,220cc070,cc9a920a,7c400041,07120210,a0c0a146,8950f468,12e00116,1e5818a1,26489100,194861f1,4c903122
3c00ffff,ffffffff,141020d0,6143852a,3400a4e0,52050e8d,19b04044,06080c22,53e28395,16103810,6282850a,240012a6,c0033922
4400ffff,ffffffff,128c73d1,a4080b26,300162a0,82001620,a121240a,3b2e0ce0,00a10432,20300a04,c5948728,3549c501,078f4122
4c00ffff,ffffffff,1864c0e0,61c5ce12,1c08a1c6,cc012005,88312380,8c081050,11c4c404,02180031,c045090a,08588481,10064922
5400ffff,ffffffff,72509821,a089070a,69285020,c207522c,0052428b,28042c21,40c04c12,2208d050,40090612,10e090e1,83045122
5c00ffff,ffffffff,0014f0a3,62138302,1008a4a3,88920010,384123ca,080815c9,a0870289,061810b0,20172326,2c80f283,88835922
6400ffff,ffffffff,4aa818c1,42c30708,18280041,54812610,9011e2c3,1e1c2408,c1400105,44386821,82079b24,ac40a380,00006122
6c00ffff,ffffffff,241c10f4,6a1c0a32,38d84160,040e0a60,682166c5,8a000cbc,9011ce07,22145880,2a010204,2042a84b,c9866922
7400ffff,ffffffff,0648b1d1,83458c02,c840f261,eb8a0424,2830e289,091280f1,50e19308,101128e2,46833628,1c2224a0,c80e7122
7c00ffff,ffffffff,14507810,00001500,7c98f221,40842024,2820a501,0b381071,75425808,02243143,02450a0c,ac792044,48397922
0400ffff,ffffffff,06281150,20d08202,1429e0c2,428c2014,1117c483,01008898,02644008,0a1039a0,4686831a,50e941a1,44840122
0c00ffff,ffffffff,5e601870,c0158722,bc51c245,96a0000c,10634444,07022438,100383a5,1a044921,404a0d08,10c01128,45310922
1400ffff,ffffffff,12a05820,02680404,10206104,0394246d,5001a00c,0a380128,c322c00f,42042350,c6428604,0c4a24a4,87821122
1c00ffff,ffffffff,4a1800a1,a0c80c4a,5892f001,02823534,ea110545,8a3edc91,05450594,025569c2,c6419f08,0c7065e1,4d8a1922
2400ffff,ffffffff,247c3092,f106801a,a87ad066,4790060c,28106403,83080c71,70814203,3840a090,23808e50,04b95027,42232122
2c00ffff,ffffffff,0aac20f3,20048808,3c8023c4,0da23438,09b18784,0114507a,2042c401,00d06881,81c10f00,2c400122,88882922
3400ffff,ffffffff,1a283ab2,6885842a,0c00a107,050d123c,10122402,a904b800,41808104,08282810,40c28302,08316240,01073122
3c00ffff,ffffffff,4c2c3213,c502140a,2028d280,83230229,08a280c0,825a0801,b2074312,0c000ab4,a2d10538,a4487184,c3033922
4400ffff,ffffffff,104ca853,a4dfa030,18982062,c0201010,32a06086,850a2030,d0610000,66cc79f4,00070500,c0101009,01824122
