TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
7400ffff,ffffffff,0c284c32,a0c7001c,10507104,01020810,a8e2c203,000454b0,80a7c502,1e1c6975,ccc4043c,08697501,c5877122
7c00ffff,ffffffff,684808a0,e3021c0a,4c606108,848e0224,300202c2,030e6060,23e247a4,20c41872,e18d9110,141b35ae,838f7922
0400ffff,ffffffff,0800e0a0,a286b914,60a85160,948b0000,50608243,032e3c38,72261803,2628b840,42c60158,384041e2,04120122
0c00ffff,ffffffff,16444851,e0d7032a,00006386,4c8d2e20,9160c101,851810b9,80264105,107c09a0,44870212,1cf980a0,818b0922
1400ffff,ffffffff,3a200002,86c41a16,004070e2,c80b128c,5aa3a140,802c3541,4100c30b,42151a74,230b8222,04292321,91211122
1c00ffff,ffffffff,0c2c69f0,24009e0e,182893a5,c0130644,1010e2c0,010614a0,a0470506,085cc8b0,a3548054,10305044,03001922
2400ffff,ffffffff,28006860,050a1608,28600121,4c856814,7810e406,9d524821,11e26395,04142870,8444840c,48c19085,c70a2122
2c00ffff,ffffffff,1c0c5ac7,8b809742,f0109160,87181418,8950c249,12560440,b10a4382,1824aa41,2243020e,084b960a,070b2922
3400ffff,ffffffff,3c191960,c3038904,100ad5e0,8c8318fc,11d0a011,85269020,52274481,60202010,45020618,04104021,458f3122
3c00ffff,ffffffff,14368040,23c08f54,34d080a1,4b031a24,71a02100,000e0c40,51654200,02282822,c4818d04,048220e2,44803922
4400ffff,ffffffff,040c0910,a7448e02,00614501,048f2a04,78016842,0e0e0920,60620487,265839e1,c5d00704,400930a2,43064122
4c00ffff,ffffffff,3ed8fa44,80068018,1c8980ca,00070624,780464ca,9b360110,33040281,12b178b0,e0c49900,0468a460,43064922
5400ffff,ffffffff,0e1060a0,e306a440,84d8d285,092230f0,e0024303,0c004021,90c48584,44080825,6449002c,2ca0d180,c9945122
5c00ffff,ffffffff,14041040,47cc0d0a,0dd81026,039a0e60,48104207,3226000a,10240187,0e0c6200,05038656,10d8f0c9,4b805922
6400ffff,ffffffff,28381260,20888a12,1a08a005,8404024c,30104845,82161c9a,03e1c205,18904093,c4410702,082b9124,cd966122
6c00ffff,ffffffff,14104911,40848d78,7c60c2e1,810b2c08,082020d9,b54a6248,12a9040c,2c104120,20448c0c,6de83022,c80b6922
7400ffff,ffffffff,14787110,07120110,24080043,51091000,80102009,88163028,10c3811b,00283950,81840204,146091c0,44027122
7c00ffff,ffffffff,4a581b70,4206892e,10104261,441904c0,08908843,9f125828,8000020f,00a8c942,614d9128,0448d228,4c887922
0400ffff,ffffffff,46240830,42c90300,2c2072ca,4385003d,08c02281,85166588,f0818e80,14451ce0,61490a00,50a82201,01850122
0c00ffff,ffffffff,18201083,44588400,34185080,c00c364c,e83360c2,09124001,2021828e,3a0c2851,88431344,7c002301,848b0922
1400ffff,ffffffff,2f2558b1,404e1312,50d86521,800d4a1c,139141c1,03020c61,63e64602,3208b012,66908d22,10b087a0,05841122
1c00ffff,ffffffff,7c442821,e30a0750,4c5150e8,c4ac1c28,0011a087,1d1e4408,2104009f,063c1001,60008106,20181289,8a221922
2400ffff,ffffffff,166ca131,0bce8032,1459dab1,400e0400,78100f49,1e285828,b10cc91e,026958c0,c8088e22,18301160,03052122
2c00ffff,ffffffff,0e1d0031,8446140c,207082e1,92074e3c,09d14181,88003098,c0c90a08,440ca822,84078014,1c00d202,49022922
3c00ffff,ffffffff,1cc03840,40c10d06,5059d100,01120838,69208502,0e1c6039,3504c083,2c10a011,828d861c,04b9302a,9d983922
4400ffff,ffffffff,12a500b4,27028102,10980200,4a18000c,5a902600,212024a0,83020696,1a24d980,61c21a4a,280a20e4,82884122
4c00ffff,ffffffff,044c8370,25431206,ac28f607,0481260c,b210e284,1ece2d00,80c1cb89,223c9c10,06d10306,8c6060a6,04074922
5400ffff,ffffffff,003c3a00,20498b2a,306871e4,c72d2218,182082cb,8f022c08,1041510b,6a600060,c0028334,31000044,4f855122
5c00ffff,ffffffff,1a1c3121,e1831908,10708123,8aa900b4,10c08a4c,000a3000,2080c327,4840e071,21038302,508111a1,07095922
6400ffff,ffffffff,18000890,61c0842e,441834c4,8c8f0c24,28e44bc9,14061098,42234189,28583900,6ac08d00,9c6870c2,92836122
6c00ffff,ffffffff,10f02070,49c1a90a,5c40e183,85a2065c,24228711,01124cfa,1080041f,482062a1,45458f10,4c102120,998e6922
7400ffff,ffffffff,1e0465d1,44460928,98508100,c1064a14,31b4c815,83103048,74000023,120c6060,c7c20226,5051d220,47017122
7c00ffff,ffffffff,0e141ab0,e088801e,34089124,87892c0c,4001a000,90547c40,1006c10a,061c31a3,a0410110,3c58b0aa,c00a7922
0400ffff,ffffffff,1e0419e3,a0038d28,14a03087,4b01047c,0a30e382,831a1009,10e8458a,1a2c0001,e0870006,2130b442,88010122
0c00ffff,ffffffff,441c6972,6a07931c,1c501120,439a225c,ea051000,00082ce9,85445104,060c6861,82ca1402,0068a121,0e330922
1400ffff,ffffffff,2e0c0170,4003870a,3c407409,188f2418,08646003,04062029,41e05215,06082830,0b40bf22,04027260,54801122
1c00ffff,ffffffff,542991b3,e0098444,004850a5,4717322c,705002c5,0a3e28c8,35a08108,26006480,00800d10,45194045,880c1922
2400ffff,ffffffff,300c5805,4284911a,1031b120,008d1c5c,69318311,02240829,0101810c,36081830,c0c10020,54620020,929d2122
2c00ffff,ffffffff,080c41b0,0b469430,08d0b2a1,86091e20,3015a109,a3180818,504e0302,0c047130,0507cd02,201821a4,43912922
3400ffff,ffffffff,22c03011,e507a234,fd100181,402f6210,02c0c2c0,86221c31,56200781,0a74b410,e181b00a,04b15089,85823122
3c00ffff,ffffffff,08188840,e2488512,0c000060,c68c3264,98316883,94320428,50cc269e,202c3020,0a041106,24503002,91133922
4400ffff,ffffffff,560c6911,a7038010,20705145,81811040,10306447,0132e838,70418b83,02985052,60032918,00116120,010f4122
4c00ffff,ffffffff,208c20b0,e2c11014,8c082060,85024648,28218800,20400418,63450ab9,06180010,23c28840,38a06264,80054922
5400ffff,ffffffff,5a469027,454d0524,1848b2e4,92816404,3860604f,43061528,82a38606,06601870,e3008400,1831c446,811c5122
5c00ffff,ffffffff,0808d0b2,60c58514,4940d0c5,82060414,59008145,1e262440,c348d785,1c203100,4481851a,014010e1,80995922
6400ffff,ffffffff,10ac3031,22828218,dd12a0a0,c682101c,08f1c785,2f0c8451,b2e7c194,088458d1,c0c4050e,247441e0,14116122
